data_hora;equipe;figurinha;acao;origem
01/06/2026 16:39;belgica;autofalante;preenchida;banco
02/06/2026 10:02;mexico;pe_50pct_prom;preenchida;banco
02/06/2026 10:02;mexico;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;mexico;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;mexico;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;mexico;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;canada;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;canada;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;canada;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;canada;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;belgica;pe_50pct_prom;preenchida;banco
02/06/2026 10:02;belgica;terminal_20pct;preenchida;banco
02/06/2026 10:02;belgica;ilha_20pct;preenchida;banco
02/06/2026 10:02;belgica;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;belgica;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;belgica;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;belgica;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;alemanha;ilha_20pct;preenchida;banco
02/06/2026 10:02;alemanha;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;alemanha;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;alemanha;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;alemanha;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;uruguai;pe_50pct_prom;preenchida;banco
02/06/2026 10:02;uruguai;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;uruguai;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;uruguai;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;uruguai;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;espanha;pe_50pct_prom;preenchida;banco
02/06/2026 10:02;espanha;ilha_20pct;preenchida;banco
02/06/2026 10:02;espanha;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;espanha;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;espanha;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;espanha;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;franca;pe_50pct_prom;preenchida;banco
02/06/2026 10:02;franca;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;franca;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;franca;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;franca;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;japao;pe_50pct_prom;preenchida;banco
02/06/2026 10:02;japao;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;japao;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;japao;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;japao;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;portugal;pe_50pct_prom;preenchida;banco
02/06/2026 10:02;portugal;ilha_20pct;preenchida;banco
02/06/2026 10:02;portugal;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;portugal;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;portugal;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;portugal;mpdv_pesado_2;preenchida;banco
02/06/2026 10:02;inglaterra;terminal_20pct;preenchida;banco
02/06/2026 10:02;inglaterra;mpdv_leve_25;preenchida;banco
02/06/2026 10:02;inglaterra;mpdv_leve_50;preenchida;banco
02/06/2026 10:02;inglaterra;mpdv_pesado_1;preenchida;banco
02/06/2026 10:02;inglaterra;mpdv_pesado_2;preenchida;banco
02/06/2026 11:11;alemanha;autofalante;preenchida;banco
03/06/2026 09:30;mexico;pe_50pct_prom;removida;banco
03/06/2026 09:30;canada;pe_50pct_prom;preenchida;banco
03/06/2026 09:30;canada;display_turbilhao;preenchida;banco
