data_hora;equipe;figurinha;acao;origem
08/06/2026 12:09;mexico;efetividade_90;nao_atingida;banco
08/06/2026 12:09;mexico;pe_50pct_prom;nao_atingida;banco
08/06/2026 12:09;mexico;pe_100pct_prom;nao_atingida;banco
08/06/2026 12:09;mexico;cross_50pct;nao_atingida;banco
08/06/2026 12:09;mexico;terminal_20pct;nao_atingida;banco
08/06/2026 12:09;mexico;ilha_20pct;preenchida;banco
08/06/2026 12:09;mexico;display_turbilhao;nao_atingida;banco
08/06/2026 12:09;mexico;criativo_copa_2;nao_atingida;banco
08/06/2026 12:09;mexico;criativo_copa_4;nao_atingida;banco
08/06/2026 12:09;mexico;criativo_sj_2;nao_atingida;banco
08/06/2026 12:09;mexico;criativo_sj_4;nao_atingida;banco
08/06/2026 12:09;mexico;mpdv_leve_25;preenchida;banco
08/06/2026 12:09;mexico;mpdv_leve_50;preenchida;banco
08/06/2026 12:09;mexico;mpdv_pesado_1;preenchida;banco
08/06/2026 12:09;mexico;mpdv_pesado_2;preenchida;banco
08/06/2026 12:09;mexico;autofalante;preenchida;banco
08/06/2026 12:09;canada;efetividade_90;nao_atingida;banco
08/06/2026 12:09;canada;pe_50pct_prom;preenchida;banco
08/06/2026 12:09;canada;pe_100pct_prom;nao_atingida;banco
08/06/2026 12:09;canada;cross_50pct;nao_atingida;banco
08/06/2026 12:09;canada;terminal_20pct;nao_atingida;banco
08/06/2026 12:09;canada;ilha_20pct;nao_atingida;banco
08/06/2026 12:09;canada;display_turbilhao;preenchida;banco
08/06/2026 12:09;canada;criativo_copa_2;nao_atingida;banco
08/06/2026 12:09;canada;criativo_copa_4;nao_atingida;banco
08/06/2026 12:09;canada;criativo_sj_2;nao_atingida;banco
08/06/2026 12:09;canada;criativo_sj_4;nao_atingida;banco
08/06/2026 12:09;canada;mpdv_leve_25;preenchida;banco
08/06/2026 12:09;canada;mpdv_leve_50;preenchida;banco
08/06/2026 12:09;canada;mpdv_pesado_1;preenchida;banco
08/06/2026 12:09;canada;mpdv_pesado_2;preenchida;banco
08/06/2026 12:09;canada;autofalante;preenchida;banco
08/06/2026 12:09;belgica;efetividade_90;nao_atingida;banco
08/06/2026 12:09;belgica;pe_50pct_prom;preenchida;banco
08/06/2026 12:09;belgica;pe_100pct_prom;nao_atingida;banco
08/06/2026 12:09;belgica;cross_50pct;nao_atingida;banco
08/06/2026 12:09;belgica;terminal_20pct;preenchida;banco
08/06/2026 12:09;belgica;ilha_20pct;preenchida;banco
08/06/2026 12:09;belgica;display_turbilhao;nao_atingida;banco
08/06/2026 12:09;belgica;criativo_copa_2;nao_atingida;banco
08/06/2026 12:09;belgica;criativo_copa_4;nao_atingida;banco
08/06/2026 12:09;belgica;criativo_sj_2;nao_atingida;banco
08/06/2026 12:09;belgica;criativo_sj_4;nao_atingida;banco
08/06/2026 12:09;belgica;mpdv_leve_25;preenchida;banco
08/06/2026 12:09;belgica;mpdv_leve_50;preenchida;banco
08/06/2026 12:09;belgica;mpdv_pesado_1;preenchida;banco
08/06/2026 12:09;belgica;mpdv_pesado_2;preenchida;banco
08/06/2026 12:09;belgica;autofalante;preenchida;banco
